profession,platform,usage_score
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,5
1,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,4
9,social_media_sleep,2
8,social_media_sleep,2
0,social_media_sleep,3
6,social_media_sleep,3
0,social_media_sleep,5
8,social_media_sleep,4
0,social_media_sleep,4
7,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,2
0,social_media_sleep,2
0,social_media_sleep,2
0,social_media_sleep,4
4,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,3
5,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,5
2,social_media_sleep,5
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,3
11,mood_disorder,4
6,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,4
7,mood_disorder,4
7,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
1,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,1
7,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,1
7,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,2
12,mood_disorder,5
0,mood_disorder,5
8,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,3
7,mood_disorder,1
0,mood_disorder,1
7,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,4
6,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,2
7,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,3
7,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,5
7,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
6,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,5
7,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,1
