date,depression,anxiety,social media
2021-03-15,59,70,42
2021-03-16,64,73,46
2021-03-17,60,70,44
2021-03-18,59,70,46
2021-03-19,57,67,44
2021-03-20,49,64,31
2021-03-21,55,68,38
2021-03-22,62,74,48
2021-03-23,58,71,49
2021-03-24,60,73,48
2021-03-25,59,75,49
2021-03-26,56,66,45
2021-03-27,50,64,34
2021-03-28,55,70,37
2021-03-29,58,73,44
2021-03-30,56,73,46
2021-03-31,58,71,45
2021-04-01,55,73,42
2021-04-02,50,65,36
2021-04-03,49,62,31
2021-04-04,49,63,35
2021-04-05,62,72,44
2021-04-06,59,72,49
2021-04-07,59,71,47
2021-04-08,60,75,52
2021-04-09,54,67,43
2021-04-10,51,64,36
2021-04-11,57,72,40
2021-04-12,61,78,47
2021-04-13,60,73,45
2021-04-14,60,70,47
2021-04-15,58,70,46
2021-04-16,55,66,45
2021-04-17,50,62,43
2021-04-18,54,66,46
2021-04-19,60,71,51
2021-04-20,61,74,51
2021-04-21,58,72,49
2021-04-22,59,73,49
2021-04-23,54,67,46
2021-04-24,49,62,36
2021-04-25,53,65,39
2021-04-26,60,74,45
2021-04-27,62,73,46
2021-04-28,58,73,48
2021-04-29,57,70,50
2021-04-30,53,67,50
2021-05-01,48,61,37
2021-05-02,50,64,36
2021-05-03,59,75,47
2021-05-04,58,76,51
2021-05-05,55,71,58
2021-05-06,56,72,50
2021-05-07,56,67,44
2021-05-08,50,66,38
2021-05-09,55,67,40
2021-05-10,69,76,47
2021-05-11,60,75,49
2021-05-12,58,71,49
2021-05-13,59,70,47
2021-05-14,54,68,42
2021-05-15,49,61,37
2021-05-16,54,65,38
2021-05-17,59,75,44
2021-05-18,58,71,48
2021-05-19,61,71,48
2021-05-20,57,73,48
2021-05-21,52,66,42
2021-05-22,49,62,32
2021-05-23,53,64,39
2021-05-24,56,73,51
2021-05-25,57,74,100
2021-05-26,54,70,66
2021-05-27,54,74,54
2021-05-28,50,65,46
2021-05-29,47,66,34
2021-05-30,51,68,38
2021-05-31,51,65,42
2021-06-01,56,73,46
2021-06-02,56,72,44
2021-06-03,52,70,45
2021-06-04,49,67,43
2021-06-05,49,64,38
2021-06-06,53,69,40
2021-06-07,52,74,43
2021-06-08,61,70,45
2021-06-09,54,69,49
2021-06-10,54,68,45
2021-06-11,49,64,40
2021-06-12,48,58,33
2021-06-13,52,64,36
2021-06-14,54,68,44
2021-06-15,52,69,41
2021-06-16,52,69,45
2021-06-17,52,73,44
2021-06-18,50,64,39
2021-06-19,46,61,32
2021-06-20,49,66,33
2021-06-21,52,71,40
2021-06-22,54,70,41
2021-06-23,50,66,42
2021-06-24,50,67,41
2021-06-25,47,61,39
2021-06-26,46,63,32
2021-06-27,49,66,33
2021-06-28,51,72,39
2021-06-29,48,68,38
2021-06-30,50,66,45
2021-07-01,26,33,22
2021-07-02,25,31,21
2021-07-03,24,33,18
2021-07-04,26,36,18
2021-07-05,26,35,19
2021-07-06,28,37,21
2021-07-07,26,36,21
2021-07-08,27,35,22
2021-07-09,25,36,20
2021-07-10,24,35,15
2021-07-11,24,34,15
2021-07-12,27,38,21
2021-07-13,28,39,23
2021-07-14,26,37,23
2021-07-15,25,36,21
2021-07-16,24,33,19
2021-07-17,25,33,16
2021-07-18,26,35,16
2021-07-19,27,36,19
2021-07-20,27,39,20
2021-07-21,27,35,20
2021-07-22,26,35,20
2021-07-23,24,35,19
2021-07-24,24,34,15
2021-07-25,25,35,15
2021-07-26,27,36,19
2021-07-27,25,36,20
2021-07-28,27,35,19
2021-07-29,25,36,19
2021-07-30,24,34,18
2021-07-31,23,34,16
2021-08-01,25,35,16
2021-08-02,26,37,19
2021-08-03,26,37,19
2021-08-04,25,36,20
2021-08-05,24,35,19
2021-08-06,25,35,17
2021-08-07,23,34,15
2021-08-08,26,36,15
2021-08-09,27,39,20
2021-08-10,26,39,20
2021-08-11,27,37,19
2021-08-12,27,38,21
2021-08-13,26,35,18
2021-08-14,24,33,16
2021-08-15,25,36,16
2021-08-16,27,35,20
2021-08-17,27,36,21
2021-08-18,27,38,22
2021-08-19,25,38,21
2021-08-20,25,36,19
2021-08-21,24,34,15
2021-08-22,26,36,18
2021-08-23,27,38,20
2021-08-24,30,46,19
2021-08-25,25,38,22
2021-08-26,28,38,22
2021-08-27,24,37,20
2021-08-28,23,34,16
2021-08-29,26,38,17
2021-08-30,29,38,20
2021-08-31,30,39,21
2021-09-01,27,36,23
2021-09-02,26,37,22
2021-09-03,24,37,20
2021-09-04,22,35,16
2021-09-05,26,38,15
2021-09-06,27,38,21
2021-09-07,28,42,23
2021-09-08,28,40,23
2021-09-09,28,40,22
2021-09-10,27,38,22
2021-09-11,25,34,16
2021-09-12,27,37,17
2021-09-13,29,42,23
2021-09-14,29,38,23
2021-09-15,35,40,25
2021-09-16,29,39,25
2021-09-17,27,38,24
2021-09-18,26,35,19
2021-09-19,29,37,18
2021-09-20,31,42,23
2021-09-21,30,40,26
2021-09-22,30,39,26
2021-09-23,30,38,25
2021-09-24,28,37,22
2021-09-25,25,33,18
2021-09-26,27,36,19
2021-09-27,28,40,24
2021-09-28,30,40,26
2021-09-29,29,38,26
2021-09-30,29,37,26
2021-10-01,27,35,23
2021-10-02,23,32,17
2021-10-03,27,36,19
2021-10-04,29,39,100
2021-10-05,31,39,35
2021-10-06,30,39,29
2021-10-07,31,38,27
2021-10-08,27,37,24
2021-10-09,25,36,19
2021-10-10,29,37,18
2021-10-11,31,39,26
2021-10-12,32,40,26
2021-10-13,29,39,25
2021-10-14,29,39,28
2021-10-15,28,37,24
2021-10-16,24,35,18
2021-10-17,29,37,20
2021-10-18,30,40,24
2021-10-19,31,39,26
2021-10-20,30,39,27
2021-10-21,30,37,44
2021-10-22,29,37,42
2021-10-23,25,34,27
2021-10-24,27,34,25
2021-10-25,31,39,32
2021-10-26,31,38,29
2021-10-27,30,38,29
2021-10-28,30,36,28
2021-10-29,27,35,26
2021-10-30,24,33,19
2021-10-31,27,34,20
2021-11-01,32,40,25
2021-11-02,31,39,27
2021-11-03,31,37,26
2021-11-04,31,37,26
2021-11-05,29,37,24
2021-11-06,25,32,19
2021-11-07,31,35,21
2021-11-08,33,39,27
2021-11-09,32,39,29
2021-11-10,32,39,28
2021-11-11,30,37,26
2021-11-12,29,36,24
2021-11-13,28,33,19
2021-11-14,29,35,20
2021-11-15,32,39,28
2021-11-16,32,38,27
2021-11-17,32,39,28
2021-11-18,31,38,26
2021-11-19,28,36,24
2021-11-20,26,33,20
2021-11-21,28,34,21
2021-11-22,31,36,28
2021-11-23,28,36,26
2021-11-24,26,34,25
2021-11-25,24,31,25
2021-11-26,23,29,22
2021-11-27,23,31,18
2021-11-28,27,35,20
2021-11-29,31,37,26
2021-11-30,31,38,27
2021-12-01,31,36,28
2021-12-02,31,39,28
2021-12-03,30,35,26
2021-12-04,27,35,20
2021-12-05,28,35,22
2021-12-06,32,38,27
2021-12-07,30,38,28
2021-12-08,31,37,28
2021-12-09,30,37,27
2021-12-10,27,35,24
2021-12-11,26,34,19
2021-12-12,28,34,19
2021-12-13,30,36,24
2021-12-14,30,36,26
2021-12-15,29,35,24
2021-12-16,29,35,24
2021-12-17,25,33,24
2021-12-18,25,31,17
2021-12-19,25,34,17
2021-12-20,25,34,18
2021-12-21,25,33,19
2021-12-22,22,31,17
2021-12-23,23,31,18
2021-12-24,19,26,15
2021-12-25,20,29,15
2021-12-26,23,31,15
2021-12-27,24,33,17
2021-12-28,25,34,19
2021-12-29,25,36,19
2021-12-30,25,36,19
2021-12-31,21,33,16
2022-01-01,28,37,20
2022-01-02,31,39,24
2022-01-03,31,40,28
2022-01-04,77,100,73
2022-01-05,26,36,24
2022-01-06,28,35,27
2022-01-07,30,39,30
2022-01-08,30,39,25
2022-01-09,32,41,27
2022-01-10,33,42,32
2022-01-11,33,42,32
2022-01-12,33,41,33
2022-01-13,67,84,67
2022-01-14,25,32,24
2022-01-15,27,37,23
2022-01-16,60,71,47
2022-01-17,28,35,25
2022-01-18,31,36,28
2022-01-19,31,38,29
2022-01-20,32,39,29
2022-01-21,30,36,28
2022-01-22,31,39,24
2022-01-23,33,39,27
2022-01-24,86,100,80
2022-01-25,31,37,32
2022-01-26,33,38,30
2022-01-27,32,40,30
2022-01-28,35,40,30
2022-01-29,32,38,23
2022-01-30,31,39,28
2022-01-31,38,45,31
2022-02-01,37,41,30
2022-02-02,37,44,34
2022-02-03,39,43,33
2022-02-04,35,40,29
2022-02-05,31,37,25
2022-02-06,36,39,25
2022-02-07,39,46,32
2022-02-08,38,47,36
2022-02-09,37,45,36
2022-02-10,31,35,29
2022-02-11,33,40,31
2022-02-12,30,38,24
2022-02-13,34,39,28
2022-02-14,36,42,34
2022-02-15,38,45,38
2022-02-16,36,46,40
2022-02-17,39,44,39
2022-02-18,38,45,35
2022-02-19,31,50,29
2022-02-20,34,47,30
2022-02-21,36,46,43
2022-02-22,40,47,46
2022-02-23,40,46,44
2022-02-24,38,42,38
2022-02-25,34,41,34
2022-02-26,32,39,29
2022-02-27,36,44,33
2022-02-28,41,48,41
2022-03-01,42,48,41
2022-03-02,38,48,37
2022-03-03,42,47,36
2022-03-04,40,45,34
2022-03-05,33,42,28
2022-03-06,35,43,31
2022-03-07,40,47,36
2022-03-08,40,46,36
2022-03-09,38,45,37
2022-03-10,38,44,37
2022-03-11,38,42,34
